raw_name,name,type
통큰돼지,통큰돼지,"육류,고기요리"
해변횟집,해변횟집,생선회
한그릇,중문우동한그릇 서귀포본점,일식당
협재해녀의집,협재해녀의집,"해물,생선요리"
까망꼬숑,까망꼬숑 제주,"육류,고기요리"
동진,동진식당 고기국수 동문시장점,국수
컴포즈커피 제주아라점,컴포즈커피 제주아라점,카페
(주)시더스초밥제주연동점,,
토평골식당,토평골,돼지고기구이
원삼계탕아라점,원삼계탕 아라점,"백숙,삼계탕"
파리바게뜨제주하귀점,파리바게뜨 제주하귀점,베이커리
바다이야기,바다이야기,생선구이
성공,성공,"순대,순댓국"
통나무집,통나무횟집,생선회
비비큐인제점,,
상원가든,상원가든,돼지고기구이
소리원  저지점,소리원 저지점,중식당
오리정,오리정,오리요리
제라진밥상,제라진밥상 제주함덕점,"백반,가정식"
김밥천국광양대학로점,김밥천국 광양대학로점,분식
명인일도횟집,일도명인횟집,생선회
한라진칼국수,,
서귀포흑돼지명가,서귀포흑돼지명가,"육류,고기요리"
참맛나,참맛나김밥,종합분식
마두천,마두천칼국수,한식
여인천하,여인천하,패션
전철우고향랭면해장국 신제주직영점,전철우 제주해장 고향랭면 신제주직영점,한식
화덕앤그릴,화덕앤그릴,이탈리아음식
우등생 세번째 이야기,우등생 세번째 이야기,소고기구이
희신이네,희신이네,닭요리
일또,,
스피닝울프,스피닝울프,"맥주,호프"
거제도횟집,거제도횟집,생선회
흑돼지한마당본점,표선 흑돼지한마당,돼지고기구이
표선1번회센타,표선1번회센타,생선회
생돈구이촌,생돈구이촌,한식
앙끄레국수,앙끄레국수 서귀포본점,국수
서서방숯불닭갈비,서서방숯불닭갈비 일도점,닭갈비
색달가든,색달가든깐부고깃집,한식
한길정,한길정,한식
헝그리닭발포차,헝그리닭발포차,닭발
다원우,다원우,"육류,고기요리"
영춘식당,영춘식당,한식
블리스풀,블리스풀,애견카페
함구삭당,항구식당,생선회
은진이네식당,은진이네식당,한식
철수네숯불갈비,철수네숯불갈비,돼지고기구이
초밥공장,초밥공장,일식당
유레카,제주유레카,렌터카
고집순두부연동본점,,
이서림,이서림,한식
오늘은 식당,오늘은회,생선회
에이바우트커피 올레시장점,에이바우트커피 올레시장점,카페
다인가든,다인라이브가든,"육류,고기요리"
제주국담,제주국담,한식
야시장이동식판매대(27호),야시장이동식판매대호 27호,김밥
김씨네음식점,김씨네도가니탕,"곰탕,설렁탕"
복덩이숯불갈비,복덩이숯불갈비,"육류,고기요리"
해지개,해지개,"카페,디저트"
왕서방,애월 왕서방,중식당
돈이랑성산점,돈이랑 성산점,돼지고기구이
미미,오마카세미미,"초밥,롤"
수선화식당,수선화식당 협재점,양식
배스킨라빈스제주함덕점,배스킨라빈스 제주함덕점,아이스크림
스테이위드커피 주식회사,스테이위드커피,카페
꽃담수제버거,꽃담수제버거 성산,햄버거
푸주옥도남점,푸주옥 도남점,"곰탕,설렁탕"
컴포즈커피토평점,컴포즈커피 서귀포토평점,카페
제리스펍 제주서귀포점,제리스펍 제주서귀포점,"맥주,호프"
모도리,모도리,한식
덕성식당,덕성식당,"해물,생선요리"
대정고을식당,고을식당,한식
중문솥뚜껑,제주흑돼지 중문솥뚜껑 제주 본점,돼지고기구이
제성제과올레시장점,제성제과 올레시장점,베이커리
로컬제주이야기카페,로컬제주이야기카페,"카페,디저트"
옵데강숯불갈비2호점,옵데강갈비 2호점,"육류,고기요리"
서진돈까스,,
군산소문난해물칼국수,군산소문난해물칼국수,"칼국수,만두"
에프터 글로우,에프터글로우,카페
안녕협재씨 제주협재점,안녕협재씨 제주협재점,비빔밥
빵귿,빵귿,베이커리
크라운호프제주일도점,크라운호프 제주일도점,"맥주,호프"
내담,내담,"아귀찜,해물찜"
제이팩토리,제이팩토리,"카페,디저트"
용두암 엄마 해장국,용두암 엄마 해장국,한식
민박사봉평막국수,민박사봉평막국수 제주삼화점,막국수
숙성돈가,숙성돈가 제주중문본점,돼지고기구이
네네치킨남원점,네네치킨 남원점,"치킨,닭강정"
흑돼지제주정,흑돼지제주정 표선해비치본점,돼지고기구이
픽미픽미아이스 제주아라점,픽미픽미아이스 제주아라점,가공식품
풍년내장탕해장국,풍년내장탕해장국,해장국
어머니빵집,어머니빵집,베이커리
순수한둠비연동점,순수한둠비 연동점,두부요리
회가서쪽에서뜨겠네,회가서쪽에서뜨겠네 애월본점,생선회
조아라 아구찜 본점,조아라참복아구찜 용담 본점,"아귀찜,해물찜"
교촌치킨 아라이도점,교촌치킨 이도점,"치킨,닭강정"
제주포차,구제주포차,포장마차
상명식당,상명식당,한식
성태주식회사,,
산지해장국서귀포점,산지해장국 서귀포점,해장국
치킨마루 노형제일고점,,
제주뱃도새기서귀포올레시장점(주식회사특산),,
봄봄 도두점,카페봄봄 도두점,카페
페이지투,페이지투,"카페,디저트"
돈후명가,돈후명가,한식
도새기1982,도새기1982 동홍본점,한식
해조곱창,해조곱창,"곱창,막창,양"
황해식당,황해식당 제주공항 갈치,"해물,생선요리"
이가,이가도담해장국,해장국
강해일횟집,강해일,생선회
7번가피자함덕점,7번가피자 함덕점,피자
서귀포 목마,서귀포목마,"육류,고기요리"
옵서예휴게소,옵서예휴게소,휴게소
큰길,큰길,한식
도라지식당,도라지식당 제주공항본점,한식
별미집구제주점,별미집 구제주점,국밥
제주전복김밥,제주전복김밥,김밥
숙성정육식당,,
미향해장국표선점,미향해장국 표선점,해장국
김밥천국 연동점,김밥천국 연동점,분식
한점,한점,돈가스
그린보이즈,그린보이즈,"다이어트,샐러드"
다섯시갈비,다섯시갈비,"육류,고기요리"
용림식당,용림식당,생선회
주식회사88버거,88버거,햄버거
애월문개항아리(주),해물통라면 문개항아리 애월해안도로점,라면
화양양,화양양,양갈비
더후라이팬제주이도점,더후라이팬 제주이도점,"치킨,닭강정"
청자다방 서귀포1호점,청자다방 서귀포1호점,"카페,디저트"
킹콩부대찌개 정부합동청사점,킹콩부대찌개 제주종합청사점,"찌개,전골"
노형그때그집,제주그때그집 노형점,돼지고기구이
일품순두부성산점,일품순두부 성산점,일품순두부
올레승돈,,
주민상회 서광신화점,주민상회 서광신화점,요리주점
송악산엉클스화덕피자,송악산화덕피자,피자
돈떵이용담점,돈떵이 용담점,"육류,고기요리"
노형엔횟집,노형엔횟집,일식당
바르왓,바르왓,한식
마므레,마므레 제주공항본점,"육류,고기요리"
김밥천국 이도점,김밥천국이도점,한식
카페송키,카페송키&탑동회관,"카페,디저트"
골목카페옥수,골목카페옥수,"카페,디저트"
제주숲누룽지통닭,제주숲누룽지통닭,"맥주,호프"
한양춘향연화점,한양춘향 연화점,요리주점
산전수전 인생역전,산전수전 인생역전 연동점,"전,빈대떡"
육장갈비하귀점,육장갈비 하귀점,"육류,고기요리"
일일오팔흑돼지,일일오팔흑돼지,돼지고기구이
평균이하,평균이하,"카페,디저트"
하영횟집,하영횟집,생선회
금바우,금바우흑돼지참숯구이,돼지고기구이
바른양,바른양,중식당
(주)산굼부리,산굼부리,"골짜기,고개"
박세현의보고싶다제주라면,,
나니와,나니와,한식
주식회사 우동카덴,우동카덴,일식당
루스트플레이스외도점,루스트플레이스 외도점,패밀리레스토랑
까떼커피,까떼커피,카페
효퇴국수,효퇴국수국밥,한식
괸당집함덕점,괸당집 함덕점,돼지고기구이
주식회사 수우동,협재수우동 협재점,일식당
그리다앤쿡,,
한라산해장국,한라산해장국,해장국
7번가피자제주삼화점,7번가피자 제주삼화점,피자
덕승식당,덕승식당,한식
꽃길식당용담본점,꽃길식당 고기해물짬뽕,국수
제주주민갈비,,
오가네전복,오가네전복설렁탕 서귀포본점,전복요리
김마리,김마리,종합분식
디제이개발 주식회사,,
파리바게뜨제주김녕점,파리바게뜨 제주김녕점,베이커리
생돈우리,생돈우리 제주공항본점,돼지고기구이
옛날통닭,모니카옛날통닭,"치킨,닭강정"
제주공항그때그집직영점,제주공항그때그집,돼지고기구이
온기,애월 온기,한식
오늘해장국,오늘해장국 내장탕,한식
